0,1,2,3,4,5
-30350,-15270,240,7440,24120,19820
-31410,-15290,3840,6180,24120,18560
-31420,-15310,3600,6470,24100,18560
-32260,-16530,3300,6350,26780,18360
-33340,-17050,3300,9110,26700,17280
-33420,-17250,3300,9010,27080,17280
-33620,-17990,2740,8430,26640,19800
-34080,-16610,2740,8030,26240,19680
-34560,-16890,4420,7430,26140,19460
-35080,-16250,4420,7430,26080,19400
-35680,-17090,4280,10190,25860,18440
-33980,-17430,3920,9730,25320,18440
-34340,-17810,3540,9350,26980,18280
-34880,-15830,3220,9350,26400,17740
-35000,-16510,2480,11230,26240,17560
-35010,-16610,2480,11400,26240,17500
-35020,-15140,2200,10920,25960,17080
-34800,-15160,2080,10920,25960,17000
-35020,-15260,3260,10560,25920,16540
-35030,-15280,2540,9960,25160,18650
-35040,-15900,1680,9860,24220,21180
-35340,-16200,2960,9860,23900,20820
-34700,-16460,2960,9860,23620,20720
-33640,-16820,2900,9860,22980,20720
-33650,-17200,2740,9440,24450,20220
-31830,-17660,2460,9260,24190,19580
-31230,-17720,2460,9120,23830,19540
-31240,-18180,2400,9060,23310,20650
-31620,-18640,2400,8740,23110,22010
-32380,-18660,1700,8220,25390,21730
-32280,-18680,1700,8160,25370,21730
-32940,-19240,3960,7740,24790,21690
-32980,-19300,3960,7700,25110,21510
-30700,-19980,3880,7300,24610,20890
-30710,-20060,3660,6800,26120,20190
-30790,-20240,3280,6760,26980,20010
-31150,-20260,3220,6640,27540,20010
-31290,-20280,3220,6360,27240,20750
-28470,-21120,2620,5840,26900,20230
-28480,-20930,2600,5760,26900,20150
-27460,-21110,1860,5660,26900,20150
-27470,-21470,1460,5560,26420,21500
-26390,-21490,700,5560,26420,21200
-26810,-21970,40,5020,26420,23300
-26310,-22290,40,5020,26340,23200
-26830,-23150,2360,4980,26340,22300
-26870,-23290,2100,4960,27560,21540
-26880,-23350,2040,4760,27560,21870
-27560,-23370,4500,4140,27060,21230
-27700,-23390,4480,4140,27660,20810
-27740,-23430,3580,5800,27260,20530
-27750,-23630,3540,6350,27120,20370
-27760,-23160,3480,6210,27060,20170
-28120,-21260,3060,5610,26540,20170
-28320,-21900,4820,5230,26160,20010
-28360,-21620,4800,5230,26160,19790
-29060,-22220,4080,5030,28780,19390
-26640,-23140,3620,5030,27920,19210
-26740,-23940,6100,5010,27160,18410
-27140,-24400,5780,7390,26660,17710
-27360,-23720,5600,7390,26560,17530
-27540,-24300,6960,7290,26460,17130
-28280,-25200,6960,6550,28840,17130
-29140,-22340,6540,5790,28020,17130
-27140,-22360,5500,5090,28020,16890
-27640,-22380,4760,4830,30200,16230
-28160,-22720,4340,4390,30200,17950
-28780,-20680,4340,3670,29740,17710
-28880,-20840,4740,3670,29680,17630
-29080,-20180,4720,3670,29480,17390
-27520,-20340,4340,3670,29420,16430
-27740,-20540,4340,3650,29420,16870
-28280,-20980,4180,3350,30960,16770
-28340,-21160,4600,3350,30960,16590
-28660,-21440,5920,3290,30580,16310
-28670,-21900,5920,2430,29540,18680
-29210,-22200,4660,1370,28040,23340
-29450,-22960,3800,830,30940,22840
-29460,-22980,3180,1780,30640,22840
-29470,-23000,3100,1890,30640,22840
-29790,-21900,2780,1790,30540,22580
-30470,-20840,2620,1730,30540,22420
-30480,-21960,1620,5040,29960,21820
-30120,-21980,1580,4980,29960,21580
-30280,-22480,880,6480,29960,21440
-31260,-22500,3600,6000,29960,20200
-31620,-22520,2920,5020,32100,20100
-31820,-22540,2920,5020,31760,20660
-29180,-23620,2320,4880,31760,19840
-30040,-20920,1800,4420,31760,18980
-30280,-21160,1640,4120,32700,18980
-28220,-21580,940,3880,32000,18980
